protocol_id,biop_url,status,pick_url,pick_source,pubmed_url,pmid,pmcid_hint,doi_hint,candidates,cache,has_phrase,box_class,num_links_in_box
Bio-protocol-2093,https://doi.org/10.21769/BioProtoc.3038,ok,http://www.ncbi.nlm.nih.gov/pubmed/29145843,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29145843/,29145843,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29145843""}]",miss,True,article_box,1
Bio-protocol-2094,https://doi.org/10.21769/BioProtoc.3037,ok,http://www.ncbi.nlm.nih.gov/pubmed/29141215,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29141215/,29141215,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29141215""}]",miss,True,article_box,1
Bio-protocol-2097,https://doi.org/10.21769/BioProtoc.3034,ok,https://elifesciences.org/articles/24419,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/24419""}]",miss,True,article_box,1
Bio-protocol-2098,https://doi.org/10.21769/BioProtoc.3033,ok,https://elifesciences.org/articles/29539,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/29539""}]",miss,True,article_box,1
Bio-protocol-2100,https://doi.org/10.21769/BioProtoc.3031,ok,http://www.nature.com/articles/s41467-018-03010-8,original_box_other,,,,,"[{""url"": ""http://www.nature.com/articles/s41467-018-03010-8""}]",miss,True,article_box,1
Bio-protocol-2099,https://doi.org/10.21769/BioProtoc.3032,ok,http://www.ncbi.nlm.nih.gov/pubmed/29556000,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29556000/,29556000,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29556000""}]",miss,True,article_box,1
Bio-protocol-2102,https://doi.org/10.21769/BioProtoc.3029,ok,https://elifesciences.org/articles/29815,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/29815""}]",miss,True,article_box,1
Bio-protocol-2101,https://doi.org/10.21769/BioProtoc.3030,ok,http://www.ncbi.nlm.nih.gov/pubmed/29273334,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29273334/,29273334,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29273334""}]",miss,True,article_box,1
Bio-protocol-2103,https://doi.org/10.21769/BioProtoc.3028,ok,http://www.ncbi.nlm.nih.gov/pubmed/28951474,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28951474/,28951474,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28951474""}]",miss,True,article_box,1
Bio-protocol-2096,https://doi.org/10.21769/BioProtoc.3035,ok,https://www.ncbi.nlm.nih.gov/pubmed/29545540,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29545540/,29545540,,,"[{""url"": ""https://www.ncbi.nlm.nih.gov/pubmed/29545540""}]",miss,True,article_box,1
